,CODE POSTAL,geom_x_y,NOM DE LA COMMUNE
174,14710,"49.3216546397,-0.942347542858",ECRAMMEVILLE
175,14600,"49.4031514807,0.209917592829",EQUEMAUVILLE
176,14220,"48.9690516026,-0.459505012941",ESSON
177,14100,"49.1247880255,0.28133061061",GLOS
178,14600,"49.381480242,0.236373405465",GONNEVILLE SUR HONFLEUR
179,14340,"49.1233026249,0.102461250649",LA HOUBLONNIERE
180,14123,"49.1405779091,-0.342694064356",IFS
181,14220,"48.9539488574,-0.392456343862",MESLAY
182,14140,"49.0455476434,0.188698477253",LE MESNIL GERMAIN
183,14290,"48.9725870109,0.318322467832",MEULLES
184,14620,"48.9239845756,-0.081385727774",MORTEAUX COULIBOEUF
185,14490,"49.2239444771,-0.775339384776",NORON LA POTERIE
186,14290,"49.0236641773,0.384953822179",ORBEC
187,14770,"48.9606169985,-0.611666884099",LE PLESSIS GRIMOULT
188,14690,"48.9094040854,-0.41548285835",LA POMMERAYE
189,14350,"48.9081555319,-0.841528946607",LE RECULEY
190,14290,"49.0694445928,0.309106484992",ST PIERRE DE MAILLOC
191,14121,"49.2637001725,-0.233420635581",SALLENELLES
192,14250,"49.1509531087,-0.568040470496",TESSEL
193,14800,"49.353602734,0.112669944999",TOUQUES
194,14400,"49.293916906,-0.783768105699",TOUR EN BESSIN
195,14350,"48.9712831397,-0.832051693288",LE TOURNEUR
196,14700,"48.9003361872,-0.136145311949",VILLY LEZ FALAISE
197,15110,"44.869517892,2.93031023884",ESPINASSE
198,15110,"44.9060191099,3.09513699893",FRIDEFONT
199,15130,"44.9352952684,2.50768962826",GIOU DE MAMOU
200,15150,"44.9257153749,2.27440087718",LACAPELLE VIESCAMP
201,15590,"45.0776793977,2.66430120889",MANDAILLES ST JULIEN
202,15400,"45.2974849213,2.57917392075",MENET
203,15600,"44.6310973852,2.2008554498",MONTMURAT
204,15150,"45.0207379963,2.23474554785",ST SANTIN CANTALES
205,15170,"45.1234934076,3.05334351272",TALIZAT
206,15590,"44.995618273,2.55559240833",VELZIC
207,15000,"44.9161324548,2.36598098395",YTRAC
208,16460,"45.9151202066,0.255788080504",AUNAC
209,16300,"45.4780382344,-0.157746079718",BARBEZIEUX ST HILAIRE
210,16700,"46.0522061088,0.170991094252",BERNAC
211,16150,"45.926486151,0.746752143002",CHABRAC
212,16290,"45.7009983146,-0.00261844248273",DOUZAT
213,16150,"45.8801902004,0.663734809553",EXIDEUIL
214,16700,"46.0198359959,0.159355852391",LA FAYE
215,16130,"45.5891696148,-0.256462985988",JUILLAC LE COQ
216,16140,"45.9156691196,0.10397491034",LIGNE
217,16310,"45.7508746711,0.590773518888",LE LINDOIS
218,16300,"45.4462725205,-0.208192784801",MONTCHAUDE
219,16490,"46.0971776924,0.492356946293",PLEUVILLE
220,16400,"45.6160185943,0.172580597742",PUYMOYEN
221,16320,"45.5371194351,0.354245072318",ROUGNAC
222,16300,"45.4479230686,-0.0520828628972",ST AULAIS LA CHAPELLE
223,16480,"45.2586469785,-0.0772578283204",SAUVIGNAC
224,16170,"45.80358293,-0.125386032662",SONNEVILLE
225,16140,"45.8810519501,-0.095445379465",VERDILLE
226,16330,"45.8237702139,0.106210551409",XAMBES
227,17210,"45.2021566078,-0.378592509253",BUSSAC FORET
228,17890,"45.7303444149,-1.06814190261",CHAILLEVETTE
229,17130,"45.2448604983,-0.39280322021",CORIGNAC
230,17810,"45.7939911304,-0.694780604398",ECURAT
231,17570,"45.7059879117,-1.17086670363",LES MATHES
232,17120,"45.4982547943,-0.777581892089",MORTAGNE SUR GIRONDE
233,17380,"46.0220340085,-0.624302957376",NACHAMPS
234,17150,"45.4135796399,-0.529109086758",NIEUL LE VIROUIL
235,17380,"45.9446549466,-0.753552985644",PUY DU LAC
236,17700,"46.0675190065,-0.79880232463",ST GERMAIN DE MARENCENNES
237,17700,"46.0930729273,-0.695778851",ST MARD
238,17330,"46.0456994785,-0.456838157243",ST MARTIAL
239,17410,"46.1990908569,-1.36683779933",ST MARTIN DE RE
240,17460,"45.7002243997,-0.743043174473",VARZAY
241,17300,"45.9737006196,-0.986529132827",VERGEROUX
242,18410,"47.5626482877,2.4300855539",ARGENT SUR SAULDRE
243,18220,"47.1920688038,2.71043899045",AZY
244,18190,"46.7780830686,2.33442238043",CHAMBON
245,18140,"47.1777742856,2.98551825153",LA CHAPELLE MONTLINARD
246,18130,"46.9911303193,2.646073906",JUSSY CHAMPAGNE
247,18340,"46.9209106861,2.29549352585",LAPAN
248,18250,"47.305628773,2.65561084881",NEUILLY EN SANCERRE
249,18110,"47.2489222519,2.41081023513",ST PALAIS
250,18190,"46.8470958613,2.28228826634",VENESMES
251,19510,"45.5230685233,1.46845374515",BENAYES
252,19600,"45.0582166872,1.4341213591",CHARTRIER FERRIERE
253,19160,"45.4528560123,2.30803671856",CHIRAC BELLEVUE
254,19320,"45.2759455396,1.95673708604",CLERGOUX
255,19500,"45.0035299076,1.75465208697",CUREMONTE
256,19360,"45.1638501631,1.63821621038",DAMPNIAT
257,19170,"45.5473595192,1.9000182869",GOURDON MURAT
258,19350,"45.3226150546,1.29232118318",JUILLAC
259,19360,"45.176099789,1.58386372231",MALEMORT SUR CORREZE
260,19170,"45.5113262378,1.90969127344",PRADINES
261,19500,"45.0541480503,1.72389447366",ST BAZILE DE MEYSSAC
262,19200,"45.6022320235,2.27197616263",ST PARDOUX LE VIEUX
263,19130,"45.3063549675,1.403519902",ST SOLVE
264,19200,"45.4654766822,2.38592172613",ST VICTOUR
265,19120,"44.9776918533,1.80010891382",SIONIAC
266,19170,"45.6728907622,1.95565232605",TARNAC
267,21110,"47.2376253044,5.26097283802",BEIRE LE FORT
268,21310,"47.3575073832,5.27408508272",BELLENEUVE
269,21690,"47.4889159636,4.6965588014",SOURCE SEINE
270,21200,"46.9826471816,4.82973563081",BLIGNY LES BEAUNE
271,21520,"47.9294547335,4.8328363763",BOUDREVILLE
272,21390,"47.4121182222,4.37434558764",BRIANNY
273,21310,"47.370648619,5.31774907926",CUISEREY
274,21110,"47.2407395134,5.2209768706",GENLIS
275,21520,"47.9017137167,4.88758854906",LIGNEROLLES
276,21230,"47.1523999496,4.49524544815",MIMEURE
277,21190,"47.0346400359,4.75951042223",NANTOUX
278,21440,"47.511765818,4.78886869504",PELLEREY
279,21220,"47.236074247,4.84869116559",QUEMIGNY POISOT
280,21500,"47.6174314295,4.27133698568",QUINCEROT
281,21570,"47.9883595832,4.6810588617",RIEL LES EAUX
282,21610,"47.5168029251,5.43323666573",ST SEINE SUR VINGEANNE
283,21350,"47.3777085565,4.46624986198",ST THIBAULT
284,21380,"47.4624808325,4.98146339505",SAUSSY
285,21420,"47.0806321437,4.80342918013",SAVIGNY LES BEAUNE
286,21700,"47.1401359622,5.04221971149",VILLEBICHOT
287,21330,"47.9076292898,4.38350951271",VILLEDIEU
288,21640,"47.174271631,4.95989664941",VOUGEOT
289,22510,"48.393898689,-2.58915945139",BREHAND
290,22480,"48.3372803987,-3.09549135055",CANIHUEL
291,22230,"48.1441743723,-2.3357832336",ILLIFAUT
292,22610,"48.8236353401,-3.1817520424",KERBORS
293,22150,"48.3378874008,-2.67639170288",PLEMY
294,22300,"48.6842832137,-3.51392982207",PLOUMILLIAU
295,22170,"48.4973028138,-2.92552470033",PLOUVARA
296,22160,"48.3993408756,-3.48393074891",PLUSQUELLEC
297,22260,"48.6699370955,-3.13667326185",ST CLET
298,22210,"48.0856987745,-2.64402858884",ST ETIENNE DU GUE DE L ISLE
299,22170,"48.5525813879,-3.03402824762",ST JEAN KERDANIEL
300,22510,"48.3456919515,-2.55853331378",TREBRY
301,23200,"45.9509017497,2.16588054786",AUBUSSON
302,23700,"45.9721485733,2.45298546881",BROUSSE
303,23500,"45.8393812197,2.06990945927",LA NOUAILLE
304,23140,"46.1973815424,2.1397496521",PARSAC
305,23000,"46.0784457753,1.81701009377",ST ELOI
306,23290,"46.1269796893,1.53252260223",ST ETIENNE DE FURSAC
307,23200,"45.9987180402,2.19897902296",ST MAIXANT
308,23320,"46.1999085805,1.74904977519",ST VAURY
309,24150,"44.8529470727,0.69340604246",BANEUIL
310,24550,"44.6954132053,1.17519301119",CAMPAGNAC LES QUERCY
311,24380,"44.9992323824,0.826953355328",CENDRIEUX
312,24380,"45.0928504071,0.680786253441",CHALAGNAC
313,24650,"45.2100121087,0.655273444534",CHANCELADE
314,24320,"45.3896352806,0.339347115652",LA CHAPELLE GRESIGNAC
315,24390,"45.2878322795,1.11115123114",CHERVEIX CUBAS
316,24460,"45.3287238212,0.738018257754",EYVIRAT
317,24120,"45.1156060328,1.39759185904",LA FEUILLADE
318,24310,"45.381722826,0.58447803795",LA GONTERIE BOULOUNEIX
319,24800,"45.354947204,0.823741307608",LEMPZOURS
320,24260,"44.9907571497,0.929133081058",MAUZENS ET MIREMONT
321,24440,"44.7275579766,0.763770014939",NOJALS ET CLOTTE
322,24410,"45.1915224992,0.0356230850507",PARCOUL
323,24310,"45.4226145327,0.608773293473",ST CREPIN DE RICHEMONT
324,24590,"44.9950404568,1.24436332323",ST GENIES
325,24800,"45.4894020576,0.897020061184",ST JORY DE CHALAIS
326,24110,"45.1169557791,0.49957697448",ST LEON SUR L ISLE
327,24610,"44.9613529177,0.116208017065",ST MARTIN DE GURSON
328,24370,"44.8354016232,1.34672272166",STE MONDANE
329,24540,"44.7199482027,0.882032615949",ST ROMAIN DE MONPAZIER
330,24310,"45.315549526,0.681686845317",SENCENAC PUY DE FOURCHES
331,24390,"45.2592697088,1.21947483225",TEILLOTS
332,25330,"47.0231471184,6.19580927282",AMATHAY VESIGNEUX
333,25400,"47.4811676376,6.85493983157",AUDINCOURT
334,25720,"47.2013939319,5.9554996988",AVANNE AVENEY
335,25410,"47.2012632054,5.78031837648",BERTHELANGE
336,25640,"47.39870448,6.24551247571",CENDREY
337,25580,"47.0825390886,6.32229711092",CHASNANS
338,25640,"47.3459986661,6.1610867561",CHAUDEFONTAINE
339,25500,"47.1081527318,6.68735425042",LA CHENALOTTE
340,25870,"47.3277456972,5.94001490559",CUSSEY SUR L OGNON
341,25480,"47.2744126676,5.98881788092",ECOLE VALENTIN
342,25170,"47.2323641161,5.73738220709",ETRABONNE
343,25190,"47.348314704,6.98432644991",GLERE
344,25340,"47.4439969549,6.45702381116",GONDENANS MONTBY
345,25620,"47.1811561648,6.1317775238",LE GRATTERIS
346,25370,"46.7640858972,6.40386569269",JOUGNE
347,25550,"47.550304631,6.73502312394",LAIRE
348,25690,"47.1654550513,6.43707765655",LONGECHAUX
349,25110,"47.3794904167,6.34776109043",LUXIOL
350,25210,"47.1811166643,6.67085756871",MONTBELIARDOT
351,25650,"46.9835127856,6.46539409357",MONTBENOIT
352,25580,"47.0885558465,6.3501261359",NODS
353,25440,"47.0662924884,5.91153073564",POINTVILLERS
354,25380,"47.2895523062,6.64338373642",PROVENCHERE
355,25440,"47.0820091949,5.96566947588",ROUHE
356,25160,"46.7990861399,6.23427007701",VAUX ET CHANTEGRUE
357,26800,"44.7918323658,4.90939338153",AMBONIL
358,26160,"44.5522749544,4.93110207079",LA BEGUDE DE MAZENC
359,26300,"45.0171592111,5.05096546169",BOURG DE PEAGE
360,26740,"44.6415506371,4.78559017675",LA COUCOURDE
361,26560,"44.2626520875,5.60226769891",IZON LA BRUISSE
362,26740,"44.640273082,4.88311372596",MARSANNE
363,26600,"45.0714881151,4.88879562324",MERCUROL
364,26800,"44.8757833249,4.88408311324",PORTES LES VALENCE
365,26170,"44.2973942019,5.43012241748",ST AUBAN SUR L OUVEZE
366,26190,"45.0069955398,5.29934748057",ST JEAN EN ROYANS
367,26770,"44.3954034563,5.04330124496",ST PANTALEON LES VIGNES
368,26560,"44.2152597669,5.50831127895",VILLEFRANCHE LE CHATEAU
369,27140,"49.3767401093,1.7332985708",AMECOURT
370,27480,"49.3958627299,1.6243958073",BEZU LA FORET
371,27420,"49.233850294,1.5839170559",CANTIERS
372,27560,"49.2051733652,0.538408171627",EPREVILLE EN LIEUVIN
373,27270,"49.0283010242,0.570153150904",FERRIERES ST HILAIRE
374,27370,"49.2221102,0.963471124164",FOUQUEVILLE
375,27930,"49.0984880529,1.19967557825",IRREVILLE
376,27800,"49.2288510022,0.654737767065",LIVET SUR AUTHOU
377,27210,"49.3687031435,0.327624616931",MANNEVILLE LA RAOULT
378,27850,"49.3574004646,1.40684415026",MENESQUEVILLE
379,27650,"48.7767004178,1.29009142642",MESNIL SUR L ESTREE
380,27440,"49.3227519896,1.46543126827",MESNIL VERCLIVES
381,27420,"49.2445398768,1.55531520317",MOUFLAINES
382,27830,"49.277330375,1.72635123012",NEAUFLES ST MARTIN
383,27190,"48.9205199926,1.00453898439",NOGENT LE SEC
384,27320,"48.7770036234,1.17931073126",NONANCOURT
385,27610,"49.3343917409,1.25410011216",ROMILLY SUR ANDELLE
386,27160,"48.911287302,0.845987853541",STE MARGUERITE DE L AUTEL
387,27150,"49.3535843441,1.67606825753",SANCOURT
388,27340,"49.261897448,1.11517874384",TOSTES
389,28260,"48.8531068723,1.44282251415",ANET
390,28700,"48.4158203912,1.79760418666",LA CHAPELLE D AUNAINVILLE
391,28200,"48.0762457334,1.32636728625",CHATEAUDUN
392,28320,"48.5539831477,1.73345464654",ECROSNES
393,28190,"48.4754751752,1.2975045091",FONTAINE LA GUYON
394,28200,"48.0585028612,1.42179570533",LUTZ EN DUNOIS
395,28120,"48.3445190999,1.27019288378",MAGNY
396,28190,"48.499607648,1.31332241726",MITTAINVILLIERS
397,28120,"48.3396576649,1.14563096287",NONVILLIERS GRANDHOUX
398,28130,"48.5477876279,1.57936715019",ST PIAT
399,28310,"48.2378117353,1.86150944495",TRANCRAINVILLE
400,28630,"48.3780916809,1.48044063443",VER LES CHARTRES
401,29460,"48.4011232723,-4.26930832464",DIRINON
402,29460,"48.330060559,-4.13907964389",HANVEC
403,29670,"48.6328783034,-3.93010149284",HENVIC
404,29100,"48.0555333379,-4.2656946244",LE JUCH
405,29510,"48.0746211195,-3.91654516046",LANGOLEN
406,29190,"48.1833807935,-4.02633181773",LOTHEY
407,29290,"48.4584867435,-4.56837656618",MILIZAC
408,29920,"47.8154082656,-3.77625131302",NEVEZ
409,29830,"48.503013638,-4.68383669582",PLOURIN
410,29420,"48.5765978002,-4.02210161181",PLOUVORN
411,29590,"48.2359944685,-4.07720037055",ST SEGAL
412,29290,"48.495243067,-4.60294644618",TREOUERGAT
413,29440,"48.609955967,-4.08366655408",TREZILIDE
414,20164,"41.7315838648,9.04097819601",CARGIACA
415,20126,"42.2434011098,8.85509262516",CRISTINACCE
416,20160,"42.1783646694,8.98389627863",GUAGNO
417,20121,"42.1258026167,8.86199135489",ROSAZIA
418,20151,"42.0443583536,8.78903370453",SANT ANDREA D ORCINO
419,20173,"41.8861101401,9.04464465629",ZEVACO
420,20244,"42.4043178377,9.22873647306",AITI
421,20235,"42.485929834,9.31902586907",BISINCHI
422,20220,"42.6216923341,8.96127656939",MONTICELLO
423,20229,"42.3951851178,9.34913150736",NOCARIO
424,20229,"42.3944129733,9.40599362017",PIAZZOLE
425,20229,"42.3571679541,9.34439923246",PIEDIPARTINO
426,31340,"43.8287331466,1.49684943742",VILLEMATIER
427,32230,"43.5727169655,0.187336904275",ARMOUS ET CAU
428,32120,"43.8100195778,0.766169172651",BAJONNETTE
429,32190,"43.7945341833,0.136250344256",BASCOUS
430,32440,"43.9434923568,0.10186302495",CASTELNAU D AUZAN
431,32400,"43.6914735474,-0.108660908583",CAUMONT
432,32100,"43.9716968333,0.374186827134",CONDOM
433,32170,"43.3407927968,0.419689843256",DUFFORT
434,32380,"43.9244519386,0.735445599943",L ISLE BOUZON
435,32500,"43.8685216606,0.570087377655",LAMOTHE GOAS
436,32100,"43.9755473747,0.282230658284",LARROQUE SUR L OSSE
437,32400,"43.7070511405,-0.134532428412",LELIN LAPUJOLLE
438,32490,"43.5842074284,1.01573782647",MARESTAING
439,32550,"43.6420882254,0.668712450968",MONTEGUT
440,32390,"43.7935827191,0.627663665443",MONTESTRUC SUR GERS
441,32460,"43.7767358721,-0.139888973276",PERCHEDE
442,32220,"43.4440094082,0.934879831241",PUYLAUSIC
443,32390,"43.7568936206,0.632111364488",STE CHRISTIE
444,32430,"43.6982927538,0.988565148255",ST CRICQ
445,32300,"43.4280095382,0.472914015633",ST ELIX THEUX
446,32300,"43.4844581655,0.462191038357",ST MEDARD
447,32400,"43.6736657601,-0.0144861541884",TERMES D ARMAGNAC
448,72470,"48.0162619913,0.333986746648",CHAMPAGNE
449,72510,"47.8022785256,0.199179125064",CHATEAU L HERMITAGE
450,72230,"47.8842699845,0.142030828594",GUECELARD
451,72340,"47.7605490341,0.563670508119",LHOMME
452,72000,"47.9885256718,0.200030493539",LE MANS
453,72430,"47.8589974473,-0.100335586338",NOYEN SUR SARTHE
454,72150,"47.8385530465,0.421797610193",PRUILLE L EGUILLE
455,72230,"47.9430727058,0.266049763098",RUAUDIN
456,72300,"47.8378265007,-0.354705885665",SABLE SUR SARTHE
457,72110,"48.1996205131,0.523209464167",ST GEORGES DU ROSAY
458,72430,"47.8649273014,-0.0337210880136",ST JEAN DU BOIS
459,72600,"48.2955356606,0.373225492644",ST VINCENT DES PRES
460,72440,"47.9030368156,0.556315449485",TRESSON
461,72170,"48.1800998557,0.0814798946478",LE TRONCHET
462,72210,"47.9278286492,0.0845168943294",VOIVRES LES LE MANS
